property_type,sector,bedRoom,bathroom,built_up_area,study room,servant room,store room
0.0,25.0,3.0,3,1611.0,0,0,0
0.0,43.0,3.0,3,1820.0,0,0,0
0.0,9.0,2.0,2,598.0,0,0,0
1.0,27.0,6.0,6,2368.0,0,0,1
0.0,5.0,4.0,6,2602.0,0,1,0
1.0,47.0,4.0,2,585.0,0,0,0
0.0,39.0,2.0,2,86.0,0,0,0
1.0,11.0,5.0,5,2430.0,0,1,0
1.0,29.0,8.0,5,540.0,0,0,0
0.0,111.0,2.0,2,694.0,0,0,0
1.0,74.0,5.0,6,4500.0,1,1,1
0.0,103.0,3.0,3,1578.0,0,0,0
0.0,96.0,3.0,3,1610.0,0,0,0
1.0,56.0,2.333333333333333,4,945.0,0,0,1
0.0,108.0,2.0,1,652.0,0,0,0
0.0,101.0,2.0,3,998.0,0,0,0
0.0,43.0,3.0,3,1595.0,0,0,0
0.0,17.0,4.0,5,2060.0,1,0,0
0.0,92.0,3.0,4,2513.0,0,1,0
0.0,95.0,3.0,3,1387.0,0,1,0
0.0,93.0,2.0,2,1202.0,1,0,0
0.0,4.0,3.0,3,2250.0,0,1,0
0.0,16.0,3.0,5,2536.0,0,1,0
1.0,51.0,3.0,9,1836.0,0,0,0
0.0,85.0,2.0,2,1300.0,0,0,0
0.0,34.0,2.0,2,1604.0,0,0,0
1.0,52.0,6.0,6,1845.0,0,0,1
0.0,78.0,4.0,4,1819.0,0,0,0
1.0,29.0,8.0,10,3915.0,0,0,0
0.0,81.0,4.0,4,1600.0,1,0,0
0.0,53.0,3.0,4,1950.0,0,1,0
0.0,111.0,2.0,2,1319.0,1,0,0
0.0,11.0,3.0,3,1550.0,0,0,0
1.0,74.0,5.0,6,6667.0,0,1,1
0.0,105.0,3.0,3,1442.0,0,0,0
0.0,93.0,2.0,2,1175.0,0,0,0
0.0,66.0,4.0,4,4254.0,1,1,1
0.0,79.0,3.0,2,889.0,0,0,0
0.0,96.0,2.0,2,1361.0,1,0,0
0.0,44.0,3.0,3,1389.0,0,0,0
