property_type,sector,price,bedRoom,bathroom,built_up_area,study room,servant room,store room
house,sector 24,6.5,4,4,2844,0,0,0
flat,sector 92,1.25,4,4,1939,0,1,0
house,sector 56,4.0,4,4,1503,0,0,0
flat,sector 50,8.5,4,4,11111,0,1,0
flat,sector 109,1.5,3,3,1466,0,0,0
flat,sector 83,0.65,2,2,950,0,0,0
flat,sector 70a,1.65,2,2,1142,0,0,0
flat,sector 37d,1.72,3,3,1983,0,1,0
flat,gwal pahari,1.28,3,3,1489,0,0,0
flat,sector 85,2.1,3,4,2026,0,1,0
house,sector 2,2.68,4,3,1557,0,0,1
flat,sector 110,4.1,5,5,3500,0,1,0
flat,sector 85,2.1,4,4,2600,1,1,0
flat,sector 12,0.65,3,3,1167,0,0,0
house,sector 66,12.0,5,6,3150,0,1,1
flat,sector 85,2.3,4,4,2545,0,1,0
house,sector 11,2.2,4,3,1800,1,0,0
flat,sector 109,1.4,3,3,1584,0,0,0
flat,sector 37c,0.85,2,3,1442,1,0,0
flat,sector 69,1.38,3,3,1392,0,0,0
flat,sector 70a,1.2,2,2,1285,0,0,0
flat,sector 37d,1.02,3,2,1538,0,0,0
flat,sector 85,2.14,4,4,2300,1,1,0
flat,sector 60,2.82,3,3,2400,0,1,0
flat,sector 106,6.3,5,6,3797,0,0,0
flat,sector 67,4.5,4,4,2854,0,1,0
flat,sector 57,2.5,3,3,2036,0,0,0
flat,sector 67,2.65,3,3,2047,0,0,0
flat,sector 102,0.45,2,2,568,0,0,0
house,sohna road road,0.49,2,2,1150,0,0,0
flat,sector 103,0.3,1,2,402,0,0,0
flat,sector 111,0.5,1,1,374,0,0,0
flat,sector 69,2.0,4,4,2186,0,0,0
house,sector 91,3.6,4,4,2430,0,0,0
flat,sector 28,4.3,3,4,3133,0,1,1
flat,sector 69,1.52,3,3,1428,0,0,0
flat,sector 71,1.12,3,4,1631,0,1,0
flat,sector 37d,1.5,3,3,1686,0,0,0
flat,sector 81,0.89,2,2,1194,0,0,0
house,sector 66,12.0,5,6,3150,0,1,0
flat,sector 28,2.3,3,3,1777,0,1,0
house,sector 70a,5.4,4,5,2610,1,1,1
flat,sector 50,2.5,3,3,1894,0,0,0
flat,sector 48,3.45,4,4,3000,0,0,0
flat,sector 53,6.44,4,4,3068,0,1,0
flat,sector 89,0.65,2,2,1390,0,0,0
flat,sector 71,1.32,4,4,1985,0,1,0
flat,sector 107,1.4,3,4,2137,0,0,0
flat,sector 70,1.8,3,5,2167,0,0,0
flat,sohna road,0.72,2,2,1095,0,0,0
flat,sector 79,1.5,3,4,1416,0,1,0
flat,sector 33,1.35,3,2,1444,0,0,0
flat,sector 85,1.83,3,4,1925,0,0,0
flat,sector 107,0.29,2,2,543,0,0,0
flat,sector 104,0.65,3,2,848,0,0,0
house,sector 1,4.75,6,7,4500,0,0,0
flat,sector 36a,4.1,3,4,2820,1,0,0
flat,sector 12,0.6,3,3,1178,0,0,0
flat,sector 90,0.7,2,2,1176,1,0,0
flat,sector 86,1.3,2,2,1339,1,0,0
flat,sector 43,8.44,4,5,5000,0,1,0
flat,sector 99,3.25,4,4,3041,0,1,0
flat,sector 99a,0.32,2,2,473,0,0,0
house,sector 55,4.6,3,3,2160,0,1,1
flat,sector 33,2.5,3,3,2093,0,0,0
flat,sohna road,0.25,2,2,481,0,0,0
flat,sector 104,1.3,3,2,1303,1,0,1
flat,sector 67,2.85,4,4,2127,0,1,0
house,sector 14,3.5,6,4,1935,0,0,0
flat,sector 56,1.85,3,4,2278,0,1,0
flat,sector 89,1.1,3,1,1103,0,0,0
flat,sector 92,1.1,4,4,2286,0,1,0
flat,sector 81,0.6,2,2,814,0,0,0
flat,sector 108,0.9,2,3,978,0,1,0
house,sector 25,9.0,10,10,3159,0,0,0
flat,sector 109,2.2,3,3,2576,0,1,0
flat,sector 2,1.4,3,3,1611,0,0,0
flat,sector 37c,1.35,3,3,1820,0,0,0
flat,sector 107,0.36,2,2,598,0,0,0
house,sector 22,4.7,6,6,2368,0,0,1
flat,sector 103,2.2,4,6,2602,0,1,0
